"Environment and Climate Change Canada"
"Monthly Values for March - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"RACE ROCKS","48.298","-123.531","BC","7.4","0",NA,"16.8","0","2.2","0","",,NA,"",,NA,"","","",,NA,"328.2","0.0","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","6.6","4","-0.5","16.5","2","-0.5","2","0.0","2",NA,"28.5","2",NA,"0.0","8","","",NA,"307.5","0.0","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","7.1","0","0.1","19.0","0","0.0","0","0.0","0","0.0","43.4","0","49.0","0.0","10","","",NA,"337.4","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","29",NA,"18.4","29",NA,"","2","","",NA,"","","1016RM0"
"SATURNA CAPMON CS","48.775","-123.128","BC","6.0","1",NA,"17.3","1","-0.4","0","",,NA,"52.5","1",NA,"","8","",,NA,"361.5","0.0","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","7.5","0",NA,"14.3","0","3.1","0","",,NA,"59.0","0",NA,"","8","",,NA,"326.9","0.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","5.6","0","-0.4","17.5","0","-2.0","0","5.0","0","74.0","47.4","0","40.0","0.0","11","","",NA,"383.2","0.0","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","8.5","6",NA,"18.0","6","1.1","6","",,NA,"25.0","6",NA,"","6","",,NA,"237.7","0.0","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","6.8","0",NA,"15.1","0","-1.3","0","",,NA,"13.8","0",NA,"","5","",,NA,"346.1","0.0","1018598"
"VICTORIA GONZALES CS","48.413","-123.325","BC","7.6","1",NA,"16.4","1","2.0","0","",,NA,"13.6","1",NA,"","6","",,NA,"311.3","0.0","1018611"
"VICTORIA INTL A","48.647","-123.426","BC","6.4","1",NA,"16.8","1","-1.8","0","0.0","1",NA,"30.7","1",NA,"","7","",,NA,"349.3","0.0","1018621"
"WILLIAM HEAD","48.340","-123.539","BC","7.8","19","0.3","17.0","19","3.5","19","0.0","19",NA,"24.8","19",NA,"","4","","",NA,"122.0","0.0","1018935"
"BALLENAS ISLAND","49.350","-124.160","BC","6.8","0",NA,"11.0","0","2.4","0","",,NA,"35.2","0",NA,"","11","",,NA,"348.4","0.0","1020590"
"CAMPBELL RIVER A","49.952","-125.273","BC","4.5","0","-0.8","15.0","0","-5.0","0","0.0","0","0.0","61.0","0","44.0","0.0","13","","",NA,"419.9","0.0","1021261"
"CAPE MUDGE","49.998","-125.195","BC","6.5","0","0.2","15.0","0","-1.5","0","0.0","0","0.0","76.3","0","56.0","0.0","10","","",NA,"357.6","0.0","1021330"
"CHROME ISLAND","49.472","-124.683","BC","6.8","0",NA,"15.0","0","0.5","0","0.0","0",NA,"29.2","0",NA,"0.0","8","","",NA,"348.2","0.0","1021500"
"COMOX A","49.717","-124.900","BC","6.2","0","0.1","14.5","0","-2.4","0","0.0","0","0.0","33.3","0","32.0","","5","",,NA,"366.3","0.0","1021830"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","5.9","0",NA,"16.0","0","-3.0","0","6.0","0",NA,"115.8","0",NA,"0.0","11","","",NA,"375.7","0.0","1021960"
"COURTENAY PUNTLEDGE","49.686","-125.033","BC","5.5","8",NA,"15.5","5","-2.5","5","0.0","5",NA,"28.3","5",NA,"0.0","8","","",NA,"286.4","0.0","1021989"
"ENTRANCE ISLAND","49.209","-123.811","BC","7.1","1",NA,"11.8","1","2.9","1","",,NA,"36.6","1",NA,"","8","",,NA,"328.4","0.0","1022689"
"FANNY ISLAND","50.454","-125.993","BC","6.4","0",NA,"15.0","0","1.1","0","",,NA,"122.0","0",NA,"","12","",,NA,"359.1","0.0","1022795"
"HERIOT BAY SE","50.099","-125.203","BC","6.0","6",NA,"12.5","6","-0.5","6","0.0","6",NA,"89.4","6",NA,"","10","","",NA,"300.2","0.0","1023462"
"LITTLE QUALICUM HATCHERY","49.353","-124.512","BC","4.8","0","-0.8","14.5","0","-4.0","0","0.0","0","0.0","51.5","0","52.0","0.0","12","","",NA,"410.0","0.0","1024638"
"NANAIMO A","49.054","-123.870","BC","5.8","0",NA,"17.0","0","-3.0","0","0.0","0",NA,"47.0","0",NA,"0.0","11","","",NA,"378.4","0.0","1025369"
"NANAIMO CITY YARD","49.199","-123.988","BC","",,NA,"",,"",,"0.0","0","0.0","51.9","0","45.0","0.0","15","","",NA,"","","10253G0"
"PINE ISLAND","50.976","-127.728","BC","6.8","1","0.2","15.5","1","2.0","1","0.0","1",NA,"169.6","1",NA,"","12","","",NA,"335.0","0.0","1026170"
"PORT HARDY A","50.681","-127.367","BC","4.7","1",NA,"16.1","0","-3.7","1","0.0","0",NA,"117.8","0",NA,"","13","",,NA,"399.9","0.0","1026271"
"QUALICUM BEACH AIRPORT","49.337","-124.394","BC","5.0","0",NA,"12.6","0","-2.9","0","",,NA,"23.7","0",NA,"","6","",,NA,"402.0","0.0","1026562"
"QUALICUM R FISH RESEARCH","49.394","-124.617","BC","5.7","5","-0.2","17.0","5","-1.5","5","0.0","5",NA,"30.3","5",NA,"","7","","",NA,"318.9","0.0","1026565"
"QUINSAM RIVER HATCHERY","50.016","-125.304","BC","5.2","14","-0.6","12.5","13","-2.0","13","0.0","2",NA,"85.8","2",NA,"0.0","11","","",NA,"217.8","0.0","1026639"
"SISTERS ISLAND","49.487","-124.435","BC","7.3","0",NA,"12.1","0","3.4","0","",,NA,"",,NA,"","","",,NA,"332.1","0.0","1027403"
"ENTRANCE ISLAND","49.209","-123.809","BC","6.9","1",NA,"11.5","1","2.0","1","0.0","1",NA,"56.0","1",NA,"0.0","10","","",NA,"334.2","0.0","102BFHH"
"CAPE BEALE LIGHT","48.786","-125.216","BC","7.3","0","0.4","15.5","0","0.5","0","1.0","0","47.0","181.0","0","63.0","0.0","16","","",NA,"330.8","0.0","1031316"
"ESTEVAN POINT","49.383","-126.543","BC","6.5","0","-0.4","14.0","0","0.0","0","2.0","0","141.0","219.2","0","72.0","0.0","15","","",NA,"357.4","0.0","1032730"
"ESTEVAN POINT CS","49.383","-126.543","BC","6.2","1",NA,"13.0","1","0.0","0","",,NA,"208.8","1",NA,"","15","",,NA,"354.6","0.0","1032731"
"LENNARD ISLAND","49.111","-125.923","BC","6.1","0",NA,"14.5","0","-0.5","0","0.0","0","0.0","181.2","0","57.0","0.0","17","","",NA,"368.0","0.0","1034600"
"NITINAT RIVER HATCHERY","48.859","-124.655","BC","6.2","0","-0.2","20.5","0","-2.0","0","3.6","0","60.0","187.0","0","48.0","0.0","20","","",NA,"366.3","0.0","1035612"
"NOOTKA LIGHTSTATION","49.600","-126.617","BC","6.9","0","-0.2","18.5","0","1.0","0","0.0","0","0.0","228.1","0","73.0","0.0","14","","",NA,"345.6","0.0","1035614"
"PACHENA POINT","48.723","-125.097","BC","6.7","1","-0.1","16.5","1","-1.5","1","0.2","1",NA,"154.0","1",NA,"0.0","15","","",NA,"337.8","0.0","1035940"
"PORT ALBERNI COX LAKE","49.202","-124.752","BC","4.5","24","-1.3","10.0","24","-1.0","24","2.0","24",NA,"7.2","24",NA,"","2","","",NA,"94.4","0.0","1036208"
"QUATSINO","50.534","-127.653","BC","5.9","6","-0.5","18.5","6","-1.0","6","0.0","6",NA,"61.0","6",NA,"","11","","",NA,"303.3","0.0","1036570"
"PORT ALBERNI (AUT)","49.317","-124.927","BC","4.2","19",NA,"12.9","19","-2.2","19","",,NA,"28.4","19",NA,"","6","",,NA,"165.1","0.0","1036B06"
"SARTINE ISLAND (AUT)","50.821","-128.908","BC","5.9","1",NA,"14.1","0","1.2","1","",,NA,"58.0","1",NA,"","12","",,NA,"362.1","0.0","1037090"
"SOLANDER ISLAND (AUT)","50.112","-127.940","BC","6.3","1",NA,"17.7","0","0.1","1","",,NA,"79.4","2",NA,"","12","",,NA,"349.7","0.0","1037553"
"TAHSIS VILLAGE NORTH","49.932","-126.654","BC","6.1","16",NA,"21.5","16","-1.0","16","",,NA,"125.0","24",NA,"","7","","",NA,"179.1","0.0","1037899"
"TOFINO A","49.082","-125.773","BC","5.8","0","-0.6","19.0","0","-1.5","0","2.2","0","55.0","176.8","0","54.0","0.0","16","","",NA,"377.0","0.0","1038205"
"UCLUELET KENNEDY CAMP","48.945","-125.527","BC","6.4","0","-0.2","17.5","0","-1.5","0","0.0","0","0.0","187.2","0","58.0","0.0","15","","",NA,"360.3","0.0","1038332"
"ZEBALLOS MURAUDE CREEK","50.053","-126.779","BC","5.5","0",NA,"21.0","0","-2.5","0","7.0","0",NA,"173.4","0",NA,"0.0","16","","",NA,"386.0","0.0","1039035"
"BOWEN ISLAND SUNSET PARK","49.360","-123.402","BC","",,NA,"",,"",,"0.0","19",NA,"157.6","19",NA,"","11","","",NA,"","","104091B"
"GIBSONS GOWER POINT","49.386","-123.541","BC","6.5","0","-0.6","13.0","0","0.5","0","0.0","0","0.0","130.4","0","107.0","0.0","12","","",NA,"355.3","0.0","1043152"
"MERRY ISLAND LIGHTSTATION","49.468","-123.913","BC","7.1","0","-0.2","13.5","0","1.5","0","0.0","0","0.0","71.8","0","80.0","0.0","9","","",NA,"338.2","0.0","1045100"
"HOWE SOUND - PAM ROCKS","49.488","-123.299","BC","7.4","0",NA,"17.2","0","2.8","0","",,NA,"92.4","0",NA,"","11","",,NA,"329.3","0.0","10459NN"
"PENDER HARBOUR","49.634","-124.032","BC","",,NA,"",,"",,"0.0","0",NA,"80.1","0",NA,"0.0","10","","",NA,"","","1046115"
"PORT MELLON","49.526","-123.496","BC","6.2","0",NA,"18.2","0","-0.4","0","",,NA,"212.7","0",NA,"","14","",,NA,"364.5","0.0","1046332"
"POWELL RIVER A","49.834","-124.500","BC","4.7","0","-1.2","14.0","0","-3.0","0","1.0","0","15.0","84.1","0","76.0","0.0","10","","",NA,"413.6","0.0","1046391"
"POWELL RIVER","49.835","-124.497","BC","4.7","0",NA,"13.3","0","-2.5","0","",,NA,"",,NA,"","","",,NA,"413.2","0.0","1046392"
"SECHELT AUT","49.458","-123.715","BC","5.7","0",NA,"15.2","0","-2.1","0","",,NA,"117.8","0",NA,"","13","",,NA,"382.4","0.0","1047172"
"SQUAMISH AIRPORT","49.783","-123.161","BC","5.8","1",NA,"19.1","1","-3.7","0","",,NA,"134.9","1",NA,"","12","",,NA,"366.8","0.0","10476F0"
"WHISTLER","50.129","-122.955","BC","1.9","0","-0.5","10.0","0","-8.0","0","11.6","0","24.0","34.0","0","35.0","42.0","9","","",NA,"499.2","0.0","1048898"
"CAPE ST JAMES","51.936","-131.016","BC","5.4","1",NA,"10.4","0","0.2","1","",,NA,"",,NA,"","","",,NA,"378.9","0.0","1051351"
"KINDAKUN ROCKS (AUT)","53.316","-132.772","BC","5.4","1",NA,"14.1","0","0.2","1","",,NA,"94.2","1",NA,"","16","",,NA,"379.5","0.0","1054222"
"LANGARA","54.255","-133.058","BC","4.3","0","-0.5","13.0","0","-0.5","0","0.0","0","0.0","109.4","0","73.0","0.0","16","","",NA,"425.1","0.0","1054500"
"ROSE SPIT (AUT)","54.159","-131.661","BC","4.9","1",NA,"11.1","1","-4.7","0","",,NA,"47.8","1",NA,"","7","",,NA,"394.3","0.0","1056869"
"SANDSPIT AIRPORT AUTO","53.249","-131.813","BC","4.5","0",NA,"11.5","0","-2.9","0","",,NA,"37.1","0",NA,"","10","",,NA,"419.8","0.0","1057051"
"SANDSPIT","53.254","-131.814","BC","3.5","17",NA,"9.5","17","-1.6","16","",,NA,"8.0","17",NA,"","3","",,NA,"202.5","0.0","1057052"
"ADDENBROKE ISLAND","51.604","-127.864","BC","5.8","0","-0.4","13.0","0","-1.0","0","0.0","0","0.0","271.6","0","103.0","0.0","16","","",NA,"379.2","0.0","1060080"
"BELLA BELLA","52.185","-128.157","BC","3.4","11",NA,"17.0","11","-6.7","11","",,NA,"160.0","12",NA,"","11","",,NA,"291.3","0.0","1060815"
"BELLA COOLA AIRPORT","52.389","-126.587","BC","4.2","1",NA,"16.2","1","-4.6","0","",,NA,"19.5","1",NA,"","3","",,NA,"413.3","0.0","1060844"
"BOAT BLUFF","52.643","-128.524","BC","5.5","0","0.2","13.5","0","-1.5","0","0.0","0","0.0","278.6","0","65.0","0.0","13","","",NA,"388.3","0.0","1060901"
"BONILLA ISLAND","53.493","-130.638","BC","5.6","0","-0.2","16.5","0","-1.5","0","0.0","0","0.0","90.4","0","48.0","0.0","13","","",NA,"383.9","0.0","1060902"
"BONILLA ISLAND (AUT)","53.493","-130.639","BC","5.2","20",NA,"9.4","18","0.1","14","",,NA,"2.2","22",NA,"","1","",,NA,"140.8","0.0","1060R0K"
"CATHEDRAL POINT (AUT)","52.187","-127.471","BC","4.7","1",NA,"11.6","1","-1.2","1","",,NA,"61.8","6",NA,"","9","",,NA,"400.3","0.0","1061458"
"CUMSHEWA ISLAND","53.030","-131.602","BC","5.0","2",NA,"11.1","2","0.1","2","",,NA,"15.2","2",NA,"","5","",,NA,"375.9","0.0","1062251"
"DRYAD POINT","52.185","-128.112","BC","5.7","0","-0.3","16.0","0","-0.5","0","1.0","0","27.0","198.6","0","95.0","0.0","13","","",NA,"381.7","0.0","1062544"
"EGG ISLAND","51.247","-127.835","BC","6.0","0","-0.2","18.5","0","0.0","0","1.0","0","39.0","191.6","0","87.0","0.0","13","","",NA,"373.0","0.0","1062646"
"GREEN ISLAND","54.569","-130.708","BC","4.5","0","-0.6","12.0","0","-4.0","0","0.0","0","0.0","97.2","0","51.0","0.0","12","","",NA,"418.7","0.0","1063298"
"GREY ISLET (AUT)","54.580","-130.698","BC","5.0","1",NA,"13.0","0","-0.3","1","",,NA,"63.2","3",NA,"","10","",,NA,"390.3","0.0","1063303"
"HERBERT ISLAND (AUT)","50.940","-127.632","BC","7.0","3",NA,"15.3","3","2.1","1","",,NA,"69.0","3",NA,"","9","",,NA,"308.0","0.0","1063461"
"HOLLAND ROCK","54.172","-130.361","BC","4.8","0",NA,"15.3","0","-0.7","0","",,NA,"73.0","3",NA,"","11","",,NA,"408.2","0.0","1063496"
"IVORY ISLAND","52.270","-128.407","BC","5.6","0","-0.1","14.5","0","-1.5","0","0.0","0","0.0","218.2","0","95.0","0.0","13","","",NA,"384.0","0.0","1063690"
"KEMANO","53.563","-127.943","BC","2.4","0","-0.9","13.0","0","-8.0","0","2.0","0","13.0","83.0","0","60.0","25.0","11","","",NA,"484.0","0.0","1064020"
"KITIMAT TOWNSITE","54.054","-128.634","BC","2.6","0","-0.6","14.0","0","-9.0","0","8.0","0","30.0","91.5","0","57.0","0.0","9","","",NA,"478.8","0.0","1064320"
"KITIMAT 2","54.010","-128.705","BC","2.5","1","-1.3","15.0","1","-8.0","1","2.0","1",NA,"120.8","1",NA,"0.0","9","","",NA,"466.2","0.0","1064321"
"LUCY ISLAND LIGHTSTATION","54.296","-130.609","BC","5.0","0",NA,"15.5","0","-0.4","0","",,NA,"",,NA,"","","",,NA,"401.8","0.0","1064728"
"MCINNES ISLAND","52.262","-128.719","BC","6.2","0","0.0","13.0","0","0.0","0","0.0","0","0.0","180.6","0","80.0","0.0","13","","",NA,"364.3","0.0","1065010"
"PRINCE RUPERT","54.286","-130.445","BC","3.9","7",NA,"17.5","7","-4.8","7","",,NA,"75.4","7",NA,"","8","",,NA,"338.2","0.0","1066482"
"PRINCE RUPERT MONT CIRC","54.320","-130.290","BC","",,NA,"",,"",,"0.0","15",NA,"107.8","15",NA,"","9","","",NA,"","","1066488"
"TERRACE PCC","54.502","-128.625","BC","2.3","0","-1.1","12.5","0","-11.5","0","3.0","0","32.0","38.0","0","53.0","0.0","6","","",NA,"486.3","0.0","1068131"
"TERRACE A","54.469","-128.578","BC","1.2","0",NA,"10.4","0","-10.1","0","20.1","0",NA,"36.8","0",NA,"","5","",,NA,"521.9","0.0","1068134"
"TRIPLE ISLAND","54.295","-130.880","BC","5.4","0",NA,"13.0","0","0.5","0","0.0","0",NA,"75.0","0",NA,"0.0","10","","",NA,"389.5","0.0","1068250"
"EQUITY SILVER","54.199","-126.277","BC","-5.6","0","-1.6","6.0","0","-25.5","0","64.2","0","166.0","64.2","0","162.0","0.0","7","","",NA,"730.2","0.0","1072692"
"HOUSTON","54.396","-126.668","BC","-1.3","8",NA,"11.0","8","-22.0","8","5.0","14",NA,"5.0","14",NA,"","2","","",NA,"444.5","0.0","1073615"
"SMITHERS","54.825","-127.183","BC","-0.9","6",NA,"10.8","6","-18.0","6","",,NA,"23.9","6",NA,"","8","",,NA,"471.5","0.0","1077499"
"SMITHERS A","54.825","-127.183","BC","-1.2","0","-1.3","11.5","0","-21.5","0","37.8","0","226.0","39.4","0","191.0","48.0","6","","",NA,"594.0","0.0","1077500"
"SMITHERS AIRPORT AUTO","54.824","-127.189","BC","-1.7","0",NA,"11.0","0","-23.2","0","",,NA,"42.6","0",NA,"46.0","8","",,NA,"611.9","0.0","1077501"
"SUSKWA VALLEY","55.289","-127.171","BC","-2.1","0","-2.4","11.0","0","-20.0","0","52.8","0","244.0","67.4","0","178.0","60.0","9","","",NA,"622.0","0.0","107G879"
"OOTSA LAKESKINS LAKE CLIMATE","53.772","-125.997","BC","-5.1","1",NA,"7.0","1","-27.3","0","",,NA,"18.5","13",NA,"36.0","4","",,NA,"692.2","0.0","1085836"
"PEMBERTON AIRPORT CS","50.306","-122.734","BC","5.4","6",NA,"16.4","6","-6.4","2","",,NA,"30.2","6",NA,"","7","",,NA,"316.1","0.0","1086082"
"PUNTZI MOUNTAIN (AUT)","52.114","-124.136","BC","-4.0","1",NA,"8.9","1","-25.9","0","",,NA,"19.9","1",NA,"23.0","5","",,NA,"659.8","0.0","1086558"
"TATLAYOKO LAKE RCS","51.675","-124.403","BC","-0.8","1",NA,"12.3","0","-18.6","1","",,NA,"8.9","1",NA,"1.0","3","",,NA,"563.1","0.0","1088015"
"BURNS LAKE DECKER LAKE","54.383","-125.959","BC","-4.3","0",NA,"9.8","0","-30.7","0","",,NA,"24.8","0",NA,"62.0","6","",,NA,"690.7","0.0","1091174"
"FORT ST JAMES","54.455","-124.286","BC","-3.3","15","-1.4","7.5","15","-24.5","15","7.0","15",NA,"19.2","15",NA,"","5","","",NA,"340.2","0.0","1092970"
"FORT ST JAMES AUTO","54.455","-124.286","BC","-3.9","0",NA,"10.7","0","-25.8","0","",,NA,"34.8","0",NA,"52.0","9","",,NA,"677.6","0.0","1092975"
"MCLEESE LAKE GRANITE MT","52.531","-122.286","BC","-1.0","16",NA,"10.0","12","-18.0","11","51.0","12",NA,"64.4","12",NA,"","11","","",NA,"284.6","0.0","1095018"
"PRINCE GEORGE","53.884","-122.678","BC","-3.4","7",NA,"11.7","7","-23.7","7","",,NA,"37.5","7",NA,"","6","",,NA,"513.9","0.0","1096439"
"PRINCE GEORGE AIRPORT AUTO","53.889","-122.672","BC","-2.9","0",NA,"11.0","0","-23.2","0","",,NA,"50.5","0",NA,"55.0","12","",,NA,"646.5","0.0","1096453"
"PRINCE GEORGE STP","53.880","-122.768","BC","-0.1","1","-0.9","14.0","0","-18.5","1","29.8","0","253.0","53.0","0","193.0","38.0","8","","",NA,"544.4","0.0","1096468"
"QUESNEL","53.026","-122.510","BC","-1.8","5",NA,"12.5","5","-19.8","5","",,NA,"0.0","5",NA,"","0","",,NA,"513.5","0.0","1096629"
"QUESNEL AIRPORT AUTO","53.027","-122.506","BC","-1.5","0",NA,"12.4","0","-20.1","0","",,NA,"35.7","0",NA,"32.0","9","",,NA,"604.8","0.0","1096631"
"SPOKIN LAKE 4E","52.184","-121.686","BC","-3.3","0","-2.1","13.0","0","-28.0","0","35.0","0","151.0","46.2","0","148.0","41.0","12","","",NA,"660.6","0.0","1097646"
"WILLIAMS LAKE A","52.183","-122.054","BC","-1.8","0",NA,"11.2","0","-20.7","0","20.8","0",NA,"29.7","0",NA,"15.0","6","",,NA,"612.8","0.0","1098941"
"VANDERHOOF","54.033","-124.017","BC","-2.7","0","-2.4","12.0","0","-26.0","0","29.0","0","168.0","53.8","0","221.0","0.0","10","","",NA,"640.2","0.0","1098D90"
"108 MILE HOUSE ABEL LAKE","51.623","-121.263","BC","-1.0","4",NA,"11.5","4","-23.5","4","8.0","3",NA,"13.8","3",NA,"0.0","5","","",NA,"513.9","0.0","109E7R6"
"ABBOTSFORD A","49.025","-122.360","BC","6.4","0",NA,"19.8","0","-2.5","0","0.0","0",NA,"122.8","0",NA,"","11","",,NA,"359.8","0.0","1100031"
"AGASSIZ RCS","49.243","-121.760","BC","6.7","0","-0.8","18.8","0","-0.9","0","",,NA,"111.6","0",NA,"","16","",,NA,"350.1","0.0","1100119"
"AGASSIZ CDA","49.243","-121.760","BC","7.3","8","-0.2","18.5","5","-1.0","4","0.0","4",NA,"116.5","4",NA,"0.0","17","","",NA,"245.2","0.0","1100120"
"WHISTLER - NESTERS","50.129","-122.955","BC","2.1","0",NA,"11.2","0","-8.1","0","",,NA,"38.9","0",NA,"13.0","7","",,NA,"491.8","0.0","1100875"
"BLACKCOMB BASE SLIDING CENTER","50.102","-122.936","BC","1.2","0",NA,"12.5","0","-6.5","0","",,NA,"42.1","0",NA,"105.0","8","",,NA,"519.5","0.0","1100881"
"BURNABY SIMON FRASER U","49.278","-122.918","BC","6.2","9","0.0","19.0","9","-0.5","9","22.6","9",NA,"112.0","9",NA,"","11","","",NA,"259.3","0.0","1101158"
"CALLAGHAN VALLEY","50.144","-123.111","BC","1.4","1",NA,"15.3","1","-8.5","0","",,NA,"85.5","1",NA,"170.0","13","",,NA,"499.5","0.0","1101300"
"DELTA BURNS BOG","49.126","-123.002","BC","5.8","0",NA,"19.7","0","-4.5","0","",,NA,"108.7","0",NA,"","10","",,NA,"377.4","0.0","1102415"
"DELTA TSAWWASSEN BEACH","49.011","-123.093","BC","5.8","0","-1.9","13.0","0","-2.5","0","0.0","0","0.0","81.6","0","104.0","0.0","13","","",NA,"378.7","0.0","1102425"
"FORT LANGLEY TELEGRAPH TRAIL","49.145","-122.551","BC","6.7","0",NA,"21.0","0","-2.5","0","0.2","0",NA,"129.6","0",NA,"0.0","13","","",NA,"349.8","0.0","1102912"
"HANEY UBC RF ADMIN","49.264","-122.573","BC","6.0","0","-0.6","20.5","0","-2.0","0","0.0","0","0.0","191.4","0","98.0","0.0","17","","",NA,"371.8","0.0","1103332"
"MISSION WEST ABBEY","49.153","-122.271","BC","6.1","0","-0.8","18.0","0","-1.0","0","2.2","0","30.0","121.4","0","72.0","0.0","14","","",NA,"368.7","0.0","1105192"
"RICHMOND OPERATIONS CENTRE","49.182","-123.078","BC","",,NA,"",,"",,"",,NA,"114.2","0",NA,"","10","",,NA,"","","1105210"
"N VANC GROUSE MTN RESORT","49.381","-123.078","BC","0.2","2","-0.8","12.0","2","-13.0","2","123.0","2",NA,"158.9","2",NA,"0.0","15","","",NA,"515.4","0.0","1105658"
"N VANCOUVER WHARVES","49.315","-123.115","BC","",,NA,"",,"",,"0.0","11",NA,"129.4","11",NA,"0.0","9","","",NA,"","","1105669"
"PITT MEADOWS CS","49.208","-122.690","BC","6.5","0",NA,"21.3","0","-2.7","0","",,NA,"147.3","0",NA,"","11","",,NA,"357.3","0.0","1106178"
"POINT ATKINSON","49.330","-123.265","BC","6.7","6",NA,"14.6","6","2.0","5","",,NA,"86.8","6",NA,"","12","",,NA,"281.8","0.0","1106200"
"RICHMOND DALLYN 2","49.179","-123.087","BC","",,NA,"",,"",,"0.0","0",NA,"126.4","0",NA,"0.0","14","","",NA,"","","1106764"
